category,room_count,bathroom_count,size,type,price,city,region
Maisons et Villas,3.0,1.0,120.0,À Vendre,120000.0,Bizerte,Ghar El Melh
Maisons et Villas,4.0,1.0,328.0,À Vendre,230000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,250000.0,Bizerte,Autres villes
Maisons et Villas,5.0,3.0,140.0,À Vendre,150000.0,Bizerte,Zarzouna
Maisons et Villas,4.0,1.0,140.0,À Vendre,160000.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,50000.0,Bizerte,Autres villes
Maisons et Villas,4.0,2.0,300.0,À Louer,350.0,Bizerte,Bizerte Nord
Maisons et Villas,3.0,2.0,230.0,À Vendre,260000.0,Bizerte,Ghar El Melh
Appartements,3.0,1.0,120.0,À Vendre,130000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,115000.0,Bizerte,Ghar El Melh
Terrains et Fermes,,,,À Vendre,620000.0,Bizerte,Ghar El Melh
Terrains et Fermes,,,,À Vendre,350000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,750000.0,Bizerte,Ras Jebel
"Magasins, Commerces et Locaux industriels",1.0,1.0,240.0,À Louer,700.0,Bizerte,Bizerte
Maisons et Villas,6.0,3.0,240.0,À Vendre,260000.0,Bizerte,Ras Jebel
Appartements,3.0,1.0,140.0,À Vendre,230000.0,Bizerte,Autres villes
Appartements,2.0,1.0,70.0,À Louer,450.0,Bizerte,Autres villes
Maisons et Villas,2.0,1.0,80.0,À Louer,450.0,Bizerte,Bizerte Nord
Appartements,2.0,1.0,100.0,À Vendre,215000.0,Bizerte,Bizerte Nord
"Magasins, Commerces et Locaux industriels",1.0,1.0,66.0,À Louer,700.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,28000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,89000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,80000.0,Bizerte,Bizerte
Appartements,3.0,1.0,182.0,À Vendre,200000.0,Bizerte,Menzel Bourguiba
Terrains et Fermes,,,,À Vendre,222000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,350000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,280000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,110000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,400000.0,Bizerte,Ghar El Melh
Maisons et Villas,6.0,1.0,320.0,À Vendre,140000.0,Bizerte,Autres villes
Appartements,3.0,2.0,130.0,À Vendre,235000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,100000.0,Bizerte,Ras Jebel
Appartements,3.0,1.0,110.0,À Vendre,160000.0,Bizerte,Bizerte Nord
Maisons et Villas,2.0,1.0,100.0,À Vendre,100000.0,Bizerte,Ghar El Melh
Maisons et Villas,6.0,3.0,250.0,À Vendre,55115357.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,21820107.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,1111000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,21820107.0,Bizerte,Autres villes
Appartements,4.0,1.0,130.0,À Louer,600.0,Bizerte,Bizerte Nord
Appartements,2.0,1.0,100.0,À Louer,900.0,Bizerte,Bizerte
Appartements,4.0,1.0,125.0,À Vendre,145000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,21820107.0,Bizerte,Autres villes
Appartements,3.0,1.0,90.0,À Louer,150.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,150000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,230000.0,Bizerte,Bizerte Nord
Appartements,3.0,1.0,140.0,À Louer,460.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,15000.0,Bizerte,Menzel Bourguiba
Terrains et Fermes,,,,À Vendre,950000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,360000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,80000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,90000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,150000.0,Bizerte,Bizerte Nord
Appartements,3.0,1.0,138.0,À Vendre,110000.0,Bizerte,Autres villes
Maisons et Villas,3.0,2.0,290.0,À Vendre,650000.0,Bizerte,Bizerte
Maisons et Villas,3.0,1.0,175.0,À Vendre,115000.0,Bizerte,Menzel Bourguiba
Appartements,2.0,1.0,100.0,À Vendre,230000.0,Bizerte,Bizerte Nord
"Magasins, Commerces et Locaux industriels",1.0,1.0,24.0,À Vendre,21000.0,Bizerte,Bizerte
Appartements,4.0,1.0,110.0,À Vendre,185000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,11000.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,51200.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,320000.0,Bizerte,Bizerte
Maisons et Villas,3.0,1.0,80.0,À Vendre,80000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,85000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,55000.0,Bizerte,Bizerte Nord
Maisons et Villas,2.0,1.0,100.0,À Vendre,90000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,30000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,200000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,68000.0,Bizerte,Autres villes
Maisons et Villas,4.0,1.0,220.0,À Vendre,160000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,21000.0,Bizerte,Zarzouna
Terrains et Fermes,,,,À Vendre,35000.0,Bizerte,Autres villes
Maisons et Villas,3.0,1.0,206.0,À Vendre,190000000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,75000.0,Bizerte,Ras Jebel
Maisons et Villas,6.0,2.0,420.0,À Vendre,420000.0,Bizerte,Autres villes
"Magasins, Commerces et Locaux industriels",1.0,1.0,80.0,À Louer,700.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,130000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,55000.0,Bizerte,Autres villes
"Magasins, Commerces et Locaux industriels",8.0,3.0,1767.0,À Vendre,850000.0,Bizerte,Ras Jebel
Maisons et Villas,6.0,2.0,100.0,À Louer,900.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,280000.0,Bizerte,Ghar El Melh
Terrains et Fermes,,,,À Vendre,37000.0,Bizerte,Ghezala
Maisons et Villas,8.0,2.0,130.0,À Vendre,220000.0,Bizerte,Bizerte Nord
Appartements,3.0,1.0,100.0,À Louer,720.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,120000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,250000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,380000.0,Bizerte,Autres villes
Bureaux et Plateaux,4.0,1.0,107.0,À Louer,800.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,1400000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,85000.0,Bizerte,Ras Jebel
Bureaux et Plateaux,2.0,1.0,60.0,À Louer,450.0,Bizerte,Autres villes
Appartements,3.0,1.0,80.0,À Louer,400.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,125000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,130000.0,Bizerte,Autres villes
Maisons et Villas,5.0,1.0,189.0,À Vendre,350000.0,Bizerte,Bizerte Nord
Maisons et Villas,3.0,1.0,90.0,À Vendre,29521515.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,600000.0,Bizerte,Mateur
Maisons et Villas,3.0,2.0,240.0,À Vendre,260000.0,Bizerte,Ras Jebel
Maisons et Villas,4.0,1.0,400.0,À Vendre,240000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,65000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,65000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,120000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,220000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,255000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,170000.0,Bizerte,Ras Jebel
Maisons et Villas,3.0,1.0,160.0,À Vendre,195000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,35000.0,Bizerte,Autres villes
Maisons et Villas,2.0,1.0,80.0,À Louer,350.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,24500.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,175000.0,Bizerte,Tinja
Terrains et Fermes,,,,À Vendre,115000.0,Bizerte,Ghar El Melh
Terrains et Fermes,,,,À Vendre,130000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,130000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,24000.0,Bizerte,Ras Jebel
Maisons et Villas,5.0,3.0,140.0,À Vendre,150000.0,Bizerte,Zarzouna
Terrains et Fermes,,,,À Vendre,115000.0,Bizerte,Ghar El Melh
Terrains et Fermes,,,,À Vendre,170000.0,Bizerte,Ras Jebel
Appartements,2.0,1.0,60.0,À Louer,300.0,Bizerte,Bizerte Nord
Appartements,2.0,1.0,125.0,À Vendre,65000.0,Bizerte,Bizerte Nord
Maisons et Villas,5.0,2.0,180.0,À Vendre,415000.0,Bizerte,Bizerte Nord
Appartements,3.0,1.0,120.0,À Louer,220.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,115000.0,Bizerte,Ghar El Melh
Terrains et Fermes,,,,À Vendre,780000.0,Bizerte,Bizerte Nord
Maisons et Villas,4.0,2.0,170.0,À Louer,300.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,65000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,23000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,75000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,80000.0,Bizerte,Menzel Bourguiba
Terrains et Fermes,,,,À Vendre,300000.0,Bizerte,Bizerte Nord
Maisons et Villas,3.0,1.0,170.0,À Vendre,190000.0,Bizerte,Ras Jebel
Bureaux et Plateaux,3.0,1.0,77.0,À Louer,500.0,Bizerte,Bizerte Nord
Maisons et Villas,3.0,1.0,100.0,À Vendre,100000.0,Bizerte,Menzel Bourguiba
Terrains et Fermes,,,,À Vendre,715000.0,Bizerte,Mateur
Terrains et Fermes,,,,À Vendre,90000.0,Bizerte,Ras Jebel
Maisons et Villas,3.0,1.0,225.0,À Vendre,250000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,250000.0,Bizerte,Autres villes
Maisons et Villas,6.0,2.0,220.0,À Vendre,99417150.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,21820107.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,21820107.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,39000.0,Bizerte,Autres villes
Maisons et Villas,2.0,1.0,170.0,À Vendre,190000.0,Bizerte,Ras Jebel
Maisons et Villas,4.0,1.0,110.0,À Vendre,162000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,145000.0,Bizerte,Ghar El Melh
Terrains et Fermes,,,,À Vendre,130000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,35000.0,Bizerte,Sejenane
Terrains et Fermes,,,,À Vendre,600000.0,Bizerte,Utique
Maisons et Villas,3.0,1.0,200.0,À Louer,300.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,110000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,160000.0,Bizerte,Autres villes
Maisons et Villas,2.0,2.0,200.0,À Louer,600.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,25000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,85000.0,Bizerte,Ras Jebel
Maisons et Villas,10.0,4.0,254.0,À Vendre,310000.0,Bizerte,Bizerte Sud
Terrains et Fermes,,,,À Vendre,20000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,200000.0,Bizerte,Bizerte Sud
Maisons et Villas,2.0,1.0,100.0,À Vendre,85000.0,Bizerte,Mateur
Terrains et Fermes,,,,À Vendre,220000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,250000.0,Bizerte,Autres villes
"Magasins, Commerces et Locaux industriels",2.0,1.0,30.0,À Louer,650000.0,Bizerte,Autres villes
Maisons et Villas,5.0,2.0,230.0,À Vendre,450000000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,100000000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,130000.0,Bizerte,Zarzouna
Maisons et Villas,3.0,1.0,80.0,À Louer,280.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,250000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,390000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,35000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,760000.0,Bizerte,Ras Jebel
Maisons et Villas,3.0,2.0,170.0,À Vendre,240000.0,Bizerte,Ras Jebel
Maisons et Villas,5.0,2.0,150.0,À Vendre,175000.0,Bizerte,Bizerte Nord
Maisons et Villas,6.0,1.0,360.0,À Vendre,285000.0,Bizerte,Menzel Bourguiba
Maisons et Villas,13.0,4.0,300.0,À Vendre,520000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,255000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,400000.0,Bizerte,Bizerte Nord
Maisons et Villas,2.0,1.0,70.0,À Vendre,95000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,150000.0,Bizerte,Autres villes
"Magasins, Commerces et Locaux industriels",2.0,2.0,120.0,À Louer,1800.0,Bizerte,Autres villes
Appartements,3.0,1.0,80.0,À Louer,100.0,Bizerte,Bizerte
Appartements,3.0,1.0,80.0,À Louer,100.0,Bizerte,Bizerte
Maisons et Villas,2.0,1.0,205.0,À Vendre,200000.0,Bizerte,Bizerte Nord
Appartements,3.0,1.0,110.0,À Louer,350.0,Bizerte,Ras Jebel
Appartements,3.0,1.0,112.0,À Louer,350.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,36000.0,Bizerte,Ras Jebel
Maisons et Villas,6.0,2.0,222.0,À Vendre,250000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,100000.0,Bizerte,Bizerte
Appartements,2.0,1.0,80.0,À Louer,320.0,Bizerte,Bizerte
Maisons et Villas,3.0,1.0,300.0,À Louer,550.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,25000.0,Bizerte,Bizerte Nord
Maisons et Villas,3.0,2.0,130.0,À Vendre,180000.0,Bizerte,Autres villes
Maisons et Villas,3.0,2.0,175.0,À Vendre,170000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,37000.0,Bizerte,Ras Jebel
Maisons et Villas,3.0,1.0,300.0,À Vendre,400000.0,Bizerte,Bizerte Nord
"Magasins, Commerces et Locaux industriels",1.0,1.0,40.0,À Louer,480.0,Bizerte,Bizerte
"Magasins, Commerces et Locaux industriels",1.0,1.0,50.0,À Louer,2800.0,Bizerte,Bizerte Sud
Maisons et Villas,1.0,1.0,200.0,À Vendre,65000.0,Bizerte,Bizerte
Appartements,2.0,1.0,110.0,À Vendre,170000.0,Bizerte,Bizerte Nord
Maisons et Villas,3.0,1.0,300.0,À Louer,230.0,Bizerte,Bizerte Sud
Appartements,2.0,1.0,50.0,À Louer,320.0,Bizerte,Autres villes
Appartements,3.0,1.0,181.0,À Vendre,370000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,350000.0,Bizerte,Menzel Bourguiba
Terrains et Fermes,,,,À Vendre,180000.0,Bizerte,Autres villes
Appartements,3.0,1.0,105.0,À Louer,550.0,Bizerte,Zarzouna
Terrains et Fermes,,,,À Vendre,120000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,200000.0,Bizerte,Ras Jebel
Appartements,1.0,1.0,60.0,À Louer,420.0,Bizerte,Autres villes
Appartements,1.0,1.0,60.0,À Louer,400.0,Bizerte,Bizerte Nord
Maisons et Villas,6.0,2.0,100.0,À Vendre,300000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,250000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,70000.0,Bizerte,Ras Jebel
Maisons et Villas,3.0,1.0,130.0,À Louer,350.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,130000.0,Bizerte,Bizerte
Appartements,3.0,1.0,100.0,À Louer,300.0,Bizerte,Bizerte Sud
Appartements,3.0,1.0,93.0,À Vendre,95000.0,Bizerte,Ras Jebel
Maisons et Villas,5.0,1.0,85.0,À Vendre,120000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,75000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,200000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,1400000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,90000.0,Bizerte,Autres villes
Appartements,2.0,1.0,70.0,À Louer,300.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,145000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,140000.0,Bizerte,Ras Jebel
Appartements,2.0,1.0,100.0,À Louer,400.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,145000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,280000.0,Bizerte,Ras Jebel
Appartements,2.0,1.0,70.0,À Vendre,60000.0,Bizerte,Ras Jebel
Maisons et Villas,3.0,1.0,220.0,À Vendre,199000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,280000.0,Bizerte,Ghar El Melh
"Magasins, Commerces et Locaux industriels",2.0,1.0,50.0,À Vendre,25000.0,Bizerte,Menzel Bourguiba
Terrains et Fermes,,,,À Vendre,27000.0,Bizerte,Ras Jebel
Maisons et Villas,6.0,1.0,555.0,À Vendre,550000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,22000.0,Bizerte,Mateur
Terrains et Fermes,,,,À Vendre,290000.0,Bizerte,Zarzouna
Locations de vacances,2.0,1.0,120.0,À Louer,45.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,13500.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,350000.0,Bizerte,Bizerte
Maisons et Villas,2.0,1.0,100.0,À Vendre,148000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,80000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,80000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,420000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,380000.0,Bizerte,Ghar El Melh
Terrains et Fermes,,,,À Vendre,95000000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,142100.0,Bizerte,Bizerte Sud
Terrains et Fermes,,,,À Vendre,225000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,55000.0,Bizerte,Bizerte Sud
Terrains et Fermes,,,,À Vendre,80000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,60000.0,Bizerte,Utique
Maisons et Villas,3.0,1.0,200.0,À Louer,20000000.0,Bizerte,Autres villes
Appartements,3.0,1.0,75.0,À Vendre,91000.0,Bizerte,Menzel Bourguiba
Maisons et Villas,1.0,1.0,80.0,À Louer,330.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,250000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,25000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,23000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,500000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,60000.0,Bizerte,Ras Jebel
Appartements,2.0,1.0,60.0,À Louer,380.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,250000.0,Bizerte,Utique
Terrains et Fermes,,,,À Vendre,195000.0,Bizerte,Ras Jebel
Appartements,3.0,1.0,87.0,À Louer,500.0,Bizerte,Bizerte
Appartements,3.0,1.0,60.0,À Louer,300.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,150000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,200000.0,Bizerte,Ghar El Melh
Appartements,3.0,2.0,120.0,À Louer,530.0,Bizerte,Menzel Bourguiba
Terrains et Fermes,,,,À Vendre,750000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,280000.0,Bizerte,Ghar El Melh
Maisons et Villas,3.0,1.0,140.0,À Vendre,80000.0,Bizerte,Menzel Bourguiba
Terrains et Fermes,,,,À Vendre,150000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,128000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,39000.0,Bizerte,Ras Jebel
Appartements,3.0,2.0,165.0,À Vendre,200000.0,Bizerte,Ras Jebel
Maisons et Villas,2.0,1.0,450.0,À Vendre,220000.0,Bizerte,Autres villes
Appartements,2.0,1.0,90.0,À Louer,500.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,54000.0,Bizerte,Bizerte Sud
Appartements,3.0,1.0,80.0,À Louer,100.0,Bizerte,Bizerte
Maisons et Villas,5.0,1.0,400.0,À Vendre,550000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,120000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,2000000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,110000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,80000.0,Bizerte,Autres villes
Maisons et Villas,4.0,2.0,230.0,À Vendre,250000.0,Bizerte,Ghar El Melh
Terrains et Fermes,,,,À Vendre,35000.0,Bizerte,Autres villes
Maisons et Villas,4.0,1.0,170.0,À Louer,550.0,Bizerte,Bizerte
Maisons et Villas,3.0,1.0,150.0,À Louer,300.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,950000.0,Bizerte,Bizerte Nord
Maisons et Villas,5.0,2.0,80.0,À Vendre,80000.0,Bizerte,Menzel Bourguiba
Terrains et Fermes,,,,À Vendre,450000.0,Bizerte,Ras Jebel
Maisons et Villas,3.0,3.0,320.0,À Vendre,600000.0,Bizerte,Bizerte
Appartements,3.0,1.0,110.0,À Louer,350.0,Bizerte,Ras Jebel
"Magasins, Commerces et Locaux industriels",1.0,0.0,40.0,À Louer,850.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,160000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,125000.0,Bizerte,Autres villes
Maisons et Villas,2.0,1.0,150.0,À Vendre,160000.0,Bizerte,Ghar El Melh
Maisons et Villas,1.0,1.0,70.0,À Louer,200.0,Bizerte,Zarzouna
Terrains et Fermes,,,,À Vendre,212400.0,Bizerte,Ghar El Melh
Maisons et Villas,2.0,1.0,115.0,À Louer,600.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,800000000.0,Bizerte,Autres villes
Maisons et Villas,3.0,1.0,80.0,À Vendre,85000.0,Bizerte,Autres villes
Maisons et Villas,3.0,1.0,80.0,À Louer,250.0,Bizerte,Bizerte Sud
Maisons et Villas,4.0,2.0,130.0,À Vendre,220000000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,250000.0,Bizerte,Autres villes
Appartements,1.0,1.0,80.0,À Louer,150.0,Bizerte,Bizerte
Appartements,2.0,1.0,100.0,À Louer,200.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,2133400.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,200000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,31000.0,Bizerte,Bizerte Nord
Appartements,2.0,1.0,402.0,À Louer,75.0,Bizerte,Bizerte
Appartements,3.0,1.0,120.0,À Louer,750.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,130000.0,Bizerte,Autres villes
Maisons et Villas,4.0,1.0,150.0,À Louer,580.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,70000.0,Bizerte,Utique
Terrains et Fermes,,,,À Vendre,280000.0,Bizerte,Ghar El Melh
Maisons et Villas,5.0,2.0,160.0,À Vendre,170000.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,135000.0,Bizerte,Bizerte
Appartements,1.0,1.0,60.0,À Louer,420.0,Bizerte,Autres villes
Appartements,3.0,1.0,160.0,À Louer,350.0,Bizerte,Bizerte Nord
Maisons et Villas,4.0,1.0,150.0,À Louer,580.0,Bizerte,Autres villes
Maisons et Villas,6.0,2.0,420.0,À Vendre,600000.0,Bizerte,Bizerte
Appartements,1.0,1.0,60.0,À Louer,400.0,Bizerte,Autres villes
Appartements,3.0,1.0,118.0,À Vendre,200000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,660000.0,Bizerte,Utique
Maisons et Villas,2.0,1.0,100.0,À Vendre,160000.0,Bizerte,Bizerte
Appartements,2.0,1.0,80.0,À Louer,500.0,Bizerte,Bizerte Sud
Terrains et Fermes,,,,À Vendre,1000000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,1199000.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,75000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,65000.0,Bizerte,Menzel Bourguiba
Terrains et Fermes,,,,À Vendre,160000.0,Bizerte,Ras Jebel
Maisons et Villas,4.0,2.0,172.0,À Vendre,170000.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,230000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,400000.0,Bizerte,Autres villes
Maisons et Villas,6.0,1.0,320.0,À Vendre,145000.0,Bizerte,Autres villes
Terrains et Fermes,,,,À Vendre,90000.0,Bizerte,Mateur
Terrains et Fermes,,,,À Vendre,245000.0,Bizerte,Ras Jebel
Maisons et Villas,4.0,2.0,500.0,À Louer,1500.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,400000.0,Bizerte,Ghar El Melh
Terrains et Fermes,,,,À Vendre,120000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,250000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,70000.0,Bizerte,Utique
Terrains et Fermes,,,,À Vendre,24000.0,Bizerte,Ras Jebel
Terrains et Fermes,,,,À Vendre,200000.0,Bizerte,Autres villes
Maisons et Villas,3.0,1.0,90.0,À Louer,380.0,Bizerte,Bizerte Nord
Terrains et Fermes,,,,À Vendre,165000.0,Bizerte,Bizerte
Locations de vacances,3.0,1.0,300.0,À Louer,24353565.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,105000.0,Bizerte,Bizerte
Terrains et Fermes,,,,À Vendre,380000.0,Bizerte,Bizerte
Appartements,2.0,1.0,80.0,À Vendre,140000.0,Bizerte,Bizerte Nord
Maisons et Villas,3.0,1.0,300.0,À Vendre,230000.0,Bizerte,Autres villes
Appartements,2.0,1.0,80.0,À Louer,300.0,Bizerte,Bizerte Nord
Appartements,3.0,1.0,90.0,À Louer,450.0,Bizerte,Bizerte Nord
